PE,isolated,k,weighted_MAE,unweighted_MAE,beam_MAE,col_MAE,width_MAE,height_MAE,beam_width_MAE,beam_height_MAE,col_width_MAE,col_height_MAE,pct_within_tol,beam_within_tol,col_within_tol,width_within_tol,height_within_tol,overall_RMSE,beam_RMSE,col_RMSE,overall_R2,width_R2,height_R2,beam_R2,col_R2,baseline_MAE,baseline_beam_MAE,baseline_col_MAE,improve_vs_baseline,cv_MAE,cv_MAE_std,model_dir,status
hybrid,self_loop,-,5.71,5.816,5.515,6.117,6.869,4.55,6.32,4.71,8.022,4.212,59.1,58.3,60.8,51.6,66.6,8.607,7.835,10.037,0.542,0.455,0.628,0.547,0.358,8.326,8.599,7.753,2.616,,,../results/models/hybrid_self_loop,ok
topological,knn,4,5.719,5.834,5.511,6.157,6.995,4.443,6.303,4.718,8.448,3.866,59.6,59.5,59.9,51.0,68.3,8.566,7.769,10.037,0.548,0.455,0.641,0.555,0.385,8.326,8.599,7.753,2.606,,,../results/models/topological_knn,ok
geometric,self_loop,-,5.739,5.846,5.543,6.148,6.948,4.529,6.4,4.687,8.099,4.197,58.3,57.2,60.5,50.6,66.0,8.593,7.807,10.044,0.545,0.452,0.639,0.551,0.374,8.326,8.599,7.753,2.587,,,../results/models/geometric_self_loop,ok
geometric,knn,4,5.743,5.84,5.566,6.114,7.048,4.438,6.455,4.676,8.292,3.937,59.1,59.9,57.4,50.0,68.2,8.673,7.887,10.127,0.537,0.439,0.636,0.542,0.372,8.326,8.599,7.753,2.583,,,../results/models/geometric_knn,ok
topological,none,-,5.816,5.925,5.618,6.231,6.935,4.696,6.322,4.913,8.222,4.241,58.4,57.7,59.9,53.0,63.8,8.716,7.928,10.174,0.53,0.441,0.62,0.536,0.354,8.326,8.599,7.753,2.51,,,../results/models/topological_none,ok
geometric,none,-,5.845,5.933,5.685,6.181,7.077,4.612,6.528,4.841,8.229,4.133,57.7,56.6,60.0,48.5,66.9,8.75,7.994,10.155,0.527,0.436,0.617,0.528,0.362,8.326,8.599,7.753,2.481,,,../results/models/geometric_none,ok
hybrid,knn,4,5.849,6.001,5.572,6.431,7.038,4.66,6.378,4.765,8.422,4.439,58.0,58.0,57.9,51.6,64.4,8.695,7.944,10.092,0.532,0.445,0.62,0.535,0.35,8.326,8.599,7.753,2.477,,,../results/models/hybrid_knn,ok
topological,self_loop,-,5.862,5.986,5.635,6.338,7.051,4.672,6.5,4.77,8.209,4.467,57.2,57.0,57.7,51.0,63.4,8.748,8.008,10.126,0.526,0.441,0.611,0.527,0.335,8.326,8.599,7.753,2.464,,,../results/models/topological_self_loop,ok
hybrid,none,-,5.924,5.975,5.833,6.117,7.013,4.835,6.548,5.117,7.989,4.244,59.0,58.5,60.0,54.8,63.2,8.843,8.231,10.007,0.515,0.43,0.6,0.5,0.371,8.326,8.599,7.753,2.401,,,../results/models/hybrid_none,ok
