combo,sample,n_nodes,MAE
geometric_self_loop,sample_189,292,7.286
geometric_self_loop,sample_10,272,7.004
geometric_self_loop,sample_243,365,6.684
geometric_self_loop,sample_195,187,6.637
geometric_self_loop,sample_73,70,6.348
geometric_self_loop,sample_86,128,6.278
geometric_self_loop,sample_235,181,6.018
geometric_self_loop,sample_111,176,5.801
geometric_self_loop,sample_6,230,5.553
geometric_self_loop,sample_182,232,5.384
geometric_self_loop,sample_117,158,5.28
geometric_self_loop,sample_52,119,5.247
geometric_self_loop,sample_92,164,5.168
geometric_self_loop,sample_191,163,5.114
geometric_self_loop,sample_142,58,4.996
geometric_self_loop,sample_203,410,4.923
geometric_self_loop,sample_146,141,4.898
geometric_self_loop,sample_166,84,4.63
geometric_self_loop,sample_31,156,4.537
geometric_self_loop,sample_251,355,4.518
geometric_self_loop,sample_216,257,4.378
geometric_self_loop,sample_39,292,4.279
geometric_self_loop,sample_4,92,4.25
geometric_self_loop,sample_163,29,4.247
geometric_self_loop,sample_99,233,4.179
geometric_self_loop,sample_215,53,4.052
geometric_self_loop,sample_192,150,3.951
geometric_self_loop,sample_150,63,3.783
geometric_self_loop,sample_179,330,3.738
geometric_self_loop,sample_42,282,3.31
geometric_self_loop,sample_63,23,3.135
geometric_self_loop,sample_53,71,3.113
geometric_self_loop,sample_132,133,2.796
geometric_self_loop,sample_118,604,2.777
geometric_self_loop,sample_178,145,2.359
geometric_knn,sample_240,657,12.412
geometric_knn,sample_151,298,8.673
geometric_knn,sample_233,439,8.46
geometric_knn,sample_189,292,7.514
geometric_knn,sample_208,189,6.87
geometric_knn,sample_195,187,6.427
geometric_knn,sample_243,365,6.277
geometric_knn,sample_10,272,6.199
geometric_knn,sample_203,410,6.168
geometric_knn,sample_182,232,5.848
geometric_knn,sample_111,176,5.672
geometric_knn,sample_6,230,5.492
geometric_knn,sample_92,164,5.447
geometric_knn,sample_251,355,5.243
geometric_knn,sample_235,181,5.193
geometric_knn,sample_99,233,5.131
geometric_knn,sample_73,70,5.083
geometric_knn,sample_191,163,5.065
geometric_knn,sample_142,58,4.82
geometric_knn,sample_86,128,4.742
geometric_knn,sample_31,156,4.603
geometric_knn,sample_146,141,4.6
geometric_knn,sample_216,257,4.38
geometric_knn,sample_117,158,4.137
geometric_knn,sample_192,150,3.969
geometric_knn,sample_39,292,3.954
geometric_knn,sample_179,330,3.916
geometric_knn,sample_4,92,3.543
geometric_knn,sample_42,282,3.515
geometric_knn,sample_52,119,3.488
geometric_knn,sample_150,63,3.334
geometric_knn,sample_215,53,3.095
geometric_knn,sample_178,145,3.036
geometric_knn,sample_163,29,2.924
geometric_knn,sample_166,84,2.887
geometric_knn,sample_118,604,2.869
geometric_knn,sample_132,133,2.58
geometric_knn,sample_53,71,2.367
geometric_knn,sample_63,23,0.883
hybrid_none,sample_240,657,13.548
hybrid_none,sample_151,298,8.642
hybrid_none,sample_233,439,8.33
hybrid_none,sample_10,272,8.01
hybrid_none,sample_189,292,7.643
hybrid_none,sample_208,189,7.56
hybrid_none,sample_243,365,7.215
hybrid_none,sample_195,187,6.577
hybrid_none,sample_73,70,6.248
hybrid_none,sample_86,128,6.012
hybrid_none,sample_111,176,5.83
hybrid_none,sample_235,181,5.791
hybrid_none,sample_182,232,5.57
hybrid_none,sample_6,230,5.543
hybrid_none,sample_142,58,5.193
hybrid_none,sample_146,141,5.072
hybrid_none,sample_191,163,4.926
hybrid_none,sample_92,164,4.875
hybrid_none,sample_251,355,4.863
hybrid_none,sample_99,233,4.834
hybrid_none,sample_163,29,4.805
hybrid_none,sample_192,150,4.355
hybrid_none,sample_31,156,4.267
hybrid_none,sample_166,84,4.208
hybrid_none,sample_117,158,4.124
hybrid_none,sample_39,292,4.12
hybrid_none,sample_203,410,4.113
hybrid_none,sample_216,257,4.104
hybrid_none,sample_63,23,4.09
hybrid_none,sample_52,119,4.052
hybrid_none,sample_215,53,3.969
hybrid_none,sample_4,92,3.84
