combo,beam_conn_MAE,beam_conn_n,beam_iso_MAE,beam_iso_n,col_conn_MAE,col_conn_n,col_iso_MAE,col_iso_n
topological_none,5.618,5609,,0,6.231,2672,,0
topological_self_loop,5.635,5609,,0,6.338,2672,,0
topological_knn,5.511,5609,,0,6.157,2672,,0
geometric_none,5.685,5609,,0,6.181,2672,,0
geometric_self_loop,5.543,5609,,0,6.148,2672,,0
geometric_knn,5.566,5609,,0,6.114,2672,,0
hybrid_none,5.833,5609,,0,6.117,2672,,0
hybrid_self_loop,5.515,5609,,0,6.117,2672,,0
hybrid_knn,5.572,5609,,0,6.431,2672,,0
