split,sample,node_type,node_idx,true_b,true_h,pred_b_HGT,pred_h_HGT,pred_b_HAN,pred_h_HAN
external_test,sample_10,beam,118,10.0,10.0,40.708229064941406,32.635494232177734,39.96872329711914,34.531978607177734
external_test,sample_10,beam,119,10.0,10.0,41.20441055297852,32.92072677612305,41.786712646484375,35.191261291503906
external_test,sample_10,beam,120,10.0,10.0,40.89324951171875,32.356056213378906,42.249488830566406,35.01978302001953
external_test,sample_10,beam,121,10.0,10.0,40.42446517944336,31.841354370117188,42.84932327270508,35.18618392944336
external_test,sample_11,beam,37,10.0,10.0,39.532325744628906,29.88106155395508,44.54396438598633,33.368186950683594
external_test,sample_11,beam,38,10.0,10.0,39.74306488037109,29.99384307861328,43.08235549926758,32.30154037475586
external_test,sample_11,beam,39,10.0,10.0,39.7686767578125,29.993030548095703,44.378074645996094,33.2314338684082
external_test,sample_11,beam,44,10.0,10.0,35.906822204589844,28.882762908935547,35.30711364746094,29.04035186767578
external_test,sample_11,beam,45,10.0,10.0,35.86797332763672,28.93097877502441,35.18323516845703,28.81802749633789
external_test,sample_11,beam,46,10.0,10.0,35.885520935058594,28.89303970336914,35.3583984375,28.98324203491211
external_test,sample_11,beam,59,10.0,10.0,39.71812438964844,29.97547149658203,43.999000549316406,32.921142578125
external_test,sample_11,beam,61,10.0,10.0,35.86395263671875,28.915321350097656,35.312583923339844,28.883211135864254
external_test,sample_13,beam,89,10.0,10.0,35.97050857543945,28.91703224182129,36.26985549926758,28.26458740234375
external_test,sample_13,beam,90,10.0,10.0,35.93998336791992,28.932037353515625,35.375431060791016,28.13236618041992
external_test,sample_13,beam,91,10.0,10.0,35.94190979003906,28.923519134521484,35.864715576171875,28.184720993041992
external_test,sample_13,beam,92,10.0,10.0,36.00536346435547,28.90344619750977,36.05452728271485,28.18053436279297
external_test,sample_13,beam,93,10.0,10.0,36.040924072265625,28.89574813842773,35.76152801513672,28.19760513305664
external_test,sample_13,beam,94,10.0,10.0,36.09056854248047,28.89011573791504,35.50713348388672,28.276966094970703
external_test,sample_13,beam,95,10.0,10.0,36.14916229248047,28.905818939208984,35.287994384765625,28.398029327392575
external_test,sample_13,beam,135,10.0,10.0,37.70454406738281,29.14091110229492,38.44096374511719,29.72804069519043
external_test,sample_13,beam,137,10.0,10.0,37.63936996459961,29.123231887817383,38.09668731689453,29.722240447998047
external_test,sample_13,beam,138,10.0,10.0,37.61262512207031,29.10602188110352,38.46535873413086,29.759910583496094
external_test,sample_13,beam,139,10.0,10.0,37.7880973815918,29.17291641235352,38.44189834594727,29.74518394470215
external_test,sample_13,beam,140,10.0,10.0,37.862606048583984,29.203462600708008,38.46404266357422,29.826011657714844
external_test,sample_13,beam,141,10.0,10.0,37.8940544128418,29.21487808227539,38.47109222412109,29.89585304260254
external_test,sample_13,beam,142,10.0,10.0,37.9286003112793,29.232006072998047,38.54359817504883,30.07182502746582
external_test,sample_14,beam,71,30.0,10.0,44.96434020996094,40.32651519775391,40.93745040893555,37.61132049560547
external_test,sample_14,beam,72,30.0,10.0,47.05525207519531,41.768802642822266,42.02864456176758,38.308067321777344
external_test,sample_14,beam,73,30.0,10.0,47.63488006591797,42.08735656738281,44.73530578613281,40.16938781738281
external_test,sample_14,beam,74,30.0,10.0,47.53661346435547,42.03604888916016,45.89835357666016,40.80735778808594
external_test,sample_14,beam,75,30.0,10.0,46.61947250366211,41.52184295654297,45.83337020874024,40.74178695678711
external_test,sample_14,beam,76,30.0,10.0,38.53832244873047,29.681543350219727,39.70896530151367,30.132617950439453
external_test,sample_14,beam,77,30.0,10.0,38.6406364440918,29.650413513183597,40.559547424316406,30.57400131225586
external_test,sample_14,beam,78,30.0,10.0,38.61445999145508,29.610042572021484,40.850887298583984,30.75821685791016
external_test,sample_14,beam,79,30.0,10.0,38.60142135620117,29.59565544128418,41.0964241027832,30.927356719970703
external_test,sample_14,beam,80,30.0,10.0,38.49249267578125,29.57075500488281,41.25719833374024,31.03704833984375
external_test,sample_14,beam,81,30.0,10.0,48.69264221191406,42.661094665527344,48.164581298828125,42.13784408569336
external_test,sample_14,beam,82,30.0,10.0,48.949520111083984,42.943206787109375,48.19781875610352,42.16923141479492
external_test,sample_14,beam,83,30.0,10.0,49.14944076538086,43.14945602416992,48.19875717163086,42.17478561401367
external_test,sample_14,beam,84,30.0,10.0,49.15103912353516,43.157833099365234,48.16543960571289,42.15125274658203
external_test,sample_14,beam,85,30.0,10.0,48.80283737182617,42.82261276245117,48.09991455078125,42.10899353027344
external_test,sample_3,beam,3,10.0,10.0,43.06167984008789,33.0436897277832,38.01924133300781,29.90074920654297
external_test,sample_3,beam,16,10.0,10.0,36.999454498291016,29.03618621826172,35.883033752441406,29.112945556640625
external_test,sample_3,beam,18,10.0,10.0,37.27378463745117,29.10594749450684,36.57450866699219,29.360980987548828
external_test,sample_3,beam,137,10.0,10.0,49.81510543823242,44.16094970703125,47.60302734375,41.9189567565918
external_test,sample_3,beam,142,10.0,10.0,50.46292495727539,44.92860794067383,48.41753387451172,42.581241607666016
external_test,sample_3,beam,147,10.0,10.0,50.4354362487793,44.90520477294922,48.48028564453125,42.66318893432617
external_test,sample_3,beam,152,10.0,10.0,50.252967834472656,44.66555404663086,47.85921478271485,42.035865783691406
external_test,sample_3,beam,157,10.0,10.0,49.7509651184082,44.06393432617188,46.47008514404297,41.22788238525391
external_test,sample_3,beam,162,10.0,10.0,37.02369689941406,29.037403106689453,33.257171630859375,27.30462455749512
external_test,sample_3,beam,167,10.0,10.0,37.3062858581543,29.123266220092773,35.869964599609375,28.893726348876957
external_test,sample_3,beam,172,10.0,10.0,36.63935089111328,28.813587188720703,32.531150817871094,26.46097946166992
external_test,sample_3,beam,177,10.0,10.0,49.85317611694336,44.20573043823242,46.56725311279297,41.265167236328125
external_test,sample_3,beam,191,10.0,10.0,35.910152435302734,28.91829490661621,35.292747497558594,28.57145118713379
external_test,sample_3,beam,192,10.0,10.0,35.908599853515625,28.90928268432617,35.19825744628906,28.499805450439453
