PE,isolated,k,weighted_MAE,unweighted_MAE,beam_MAE,col_MAE,width_MAE,height_MAE,beam_width_MAE,beam_height_MAE,col_width_MAE,col_height_MAE,pct_within_tol,beam_within_tol,col_within_tol,width_within_tol,height_within_tol,overall_RMSE,beam_RMSE,col_RMSE,overall_R2,width_R2,height_R2,beam_R2,col_R2,baseline_MAE,baseline_beam_MAE,baseline_col_MAE,improve_vs_baseline,cv_MAE,cv_MAE_std,model_dir,status
hybrid,knn,4,5.519,5.635,5.304,5.967,6.621,4.416,5.951,4.656,8.017,3.916,60.6,60.1,61.6,54.6,66.7,8.324,7.432,9.927,0.548,0.46,0.635,0.555,0.386,8.156,8.35,7.753,2.637,4.462,0.17,../results/filtered/hgt/models/hybrid_knn,ok
topological,knn,4,5.537,5.67,5.292,6.047,6.802,4.273,6.114,4.471,8.234,3.86,60.6,60.5,60.8,51.6,69.6,8.32,7.434,9.914,0.55,0.454,0.646,0.555,0.404,8.156,8.35,7.753,2.619,4.5,0.194,../results/filtered/hgt/models/topological_knn,ok
hybrid,self_loop,-,5.546,5.655,5.343,5.968,6.702,4.389,6.118,4.567,7.917,4.019,59.6,58.7,61.6,52.2,67.0,8.296,7.455,9.819,0.55,0.466,0.634,0.552,0.403,8.156,8.35,7.753,2.61,4.474,0.15,../results/filtered/hgt/models/hybrid_self_loop,ok
topological,self_loop,-,5.562,5.685,5.336,6.033,6.796,4.328,6.059,4.612,8.33,3.737,60.8,61.8,58.7,51.8,69.7,8.41,7.363,10.253,0.542,0.439,0.644,0.563,0.371,8.156,8.35,7.753,2.594,4.524,0.15,../results/filtered/hgt/models/topological_self_loop,ok
geometric,self_loop,-,5.582,5.749,5.273,6.224,6.874,4.29,6.105,4.441,8.474,3.975,59.0,59.6,57.5,49.4,68.5,8.261,7.315,9.948,0.555,0.467,0.643,0.569,0.383,8.156,8.35,7.753,2.574,4.536,0.18,../results/filtered/hgt/models/geometric_self_loop,ok
hybrid,none,-,5.648,5.796,5.375,6.217,6.804,4.492,5.971,4.78,8.54,3.894,58.9,58.7,59.4,50.8,67.1,8.323,7.431,9.925,0.548,0.46,0.636,0.554,0.404,8.156,8.35,7.753,2.508,4.475,0.177,../results/filtered/hgt/models/hybrid_none,ok
geometric,knn,4,5.677,5.813,5.424,6.202,6.791,4.562,6.157,4.692,8.113,4.29,58.8,58.9,58.7,53.0,64.7,8.53,7.612,10.178,0.524,0.437,0.611,0.533,0.34,8.156,8.35,7.753,2.479,4.504,0.177,../results/filtered/hgt/models/geometric_knn,ok
geometric,none,-,5.712,5.818,5.517,6.119,6.878,4.547,6.163,4.872,8.365,3.872,58.2,57.5,59.7,49.7,66.8,8.402,7.539,9.961,0.538,0.453,0.624,0.541,0.4,8.156,8.35,7.753,2.443,4.512,0.159,../results/filtered/hgt/models/geometric_none,ok
topological,none,-,5.732,5.878,5.463,6.293,6.924,4.54,6.256,4.669,8.313,4.272,57.8,57.2,59.2,51.4,64.3,8.596,7.675,10.252,0.518,0.424,0.611,0.525,0.351,8.156,8.35,7.753,2.424,4.477,0.176,../results/filtered/hgt/models/topological_none,ok
