combo,sample,n_nodes,MAE
geometric_self_loop,sample_151,298,7.375
geometric_self_loop,sample_243,365,6.5
geometric_self_loop,sample_203,410,6.169
geometric_self_loop,sample_195,187,6.148
geometric_self_loop,sample_10,272,5.94
geometric_self_loop,sample_73,70,5.932
geometric_self_loop,sample_111,176,5.837
geometric_self_loop,sample_235,181,5.754
geometric_self_loop,sample_117,158,5.603
geometric_self_loop,sample_182,232,5.525
geometric_self_loop,sample_86,128,5.452
geometric_self_loop,sample_142,58,5.379
geometric_self_loop,sample_92,164,5.267
geometric_self_loop,sample_146,141,4.802
geometric_self_loop,sample_251,355,4.462
geometric_self_loop,sample_166,84,4.447
geometric_self_loop,sample_99,233,4.383
geometric_self_loop,sample_216,257,4.199
geometric_self_loop,sample_31,152,4.034
geometric_self_loop,sample_52,119,4.023
geometric_self_loop,sample_6,206,3.875
geometric_self_loop,sample_4,92,3.832
geometric_self_loop,sample_192,149,3.751
geometric_self_loop,sample_150,63,3.714
geometric_self_loop,sample_39,285,3.654
geometric_self_loop,sample_215,53,3.647
geometric_self_loop,sample_179,330,3.52
geometric_self_loop,sample_42,282,3.483
geometric_self_loop,sample_191,153,3.459
geometric_self_loop,sample_53,71,3.413
geometric_self_loop,sample_132,133,3.164
geometric_self_loop,sample_118,604,3.092
geometric_self_loop,sample_163,29,2.572
geometric_self_loop,sample_63,23,2.533
geometric_self_loop,sample_178,145,2.181
geometric_knn,sample_240,657,13.04
geometric_knn,sample_151,298,8.64
geometric_knn,sample_189,292,7.893
geometric_knn,sample_10,272,7.854
geometric_knn,sample_208,189,7.565
geometric_knn,sample_233,439,7.381
geometric_knn,sample_243,365,6.782
geometric_knn,sample_195,187,6.612
geometric_knn,sample_86,128,6.534
geometric_knn,sample_111,176,5.933
geometric_knn,sample_73,70,5.924
geometric_knn,sample_182,232,5.736
geometric_knn,sample_235,181,5.429
geometric_knn,sample_142,58,5.233
geometric_knn,sample_146,141,5.122
geometric_knn,sample_150,63,5.033
geometric_knn,sample_92,164,5.006
geometric_knn,sample_117,158,4.984
geometric_knn,sample_251,355,4.44
geometric_knn,sample_99,233,4.42
geometric_knn,sample_52,119,4.387
geometric_knn,sample_216,257,4.386
geometric_knn,sample_203,410,4.248
geometric_knn,sample_166,84,4.206
geometric_knn,sample_192,149,4.133
geometric_knn,sample_163,29,3.991
geometric_knn,sample_215,53,3.913
geometric_knn,sample_4,92,3.649
geometric_knn,sample_31,152,3.597
geometric_knn,sample_39,285,3.585
geometric_knn,sample_179,330,3.476
geometric_knn,sample_6,206,3.426
geometric_knn,sample_42,282,3.379
geometric_knn,sample_63,23,3.358
geometric_knn,sample_53,71,3.26
geometric_knn,sample_191,153,3.117
geometric_knn,sample_118,604,2.912
geometric_knn,sample_178,145,2.571
geometric_knn,sample_132,133,2.307
hybrid_none,sample_240,657,11.708
hybrid_none,sample_233,439,8.384
hybrid_none,sample_208,189,7.856
hybrid_none,sample_151,298,7.451
hybrid_none,sample_189,292,7.32
hybrid_none,sample_243,365,6.922
hybrid_none,sample_195,187,6.826
hybrid_none,sample_203,410,6.116
hybrid_none,sample_235,181,5.965
hybrid_none,sample_73,70,5.944
hybrid_none,sample_10,272,5.89
hybrid_none,sample_182,232,5.822
hybrid_none,sample_111,176,5.778
hybrid_none,sample_92,164,5.681
hybrid_none,sample_142,58,5.526
hybrid_none,sample_86,128,5.082
hybrid_none,sample_99,233,4.956
hybrid_none,sample_146,141,4.813
hybrid_none,sample_251,355,4.501
hybrid_none,sample_117,158,4.349
hybrid_none,sample_216,257,4.199
hybrid_none,sample_215,53,4.118
hybrid_none,sample_31,152,4.105
hybrid_none,sample_166,84,3.977
hybrid_none,sample_118,604,3.975
hybrid_none,sample_163,29,3.778
hybrid_none,sample_179,330,3.574
hybrid_none,sample_52,119,3.569
hybrid_none,sample_42,282,3.493
hybrid_none,sample_39,285,3.431
hybrid_none,sample_192,149,3.391
hybrid_none,sample_4,92,3.347
hybrid_none,sample_6,206,3.148
hybrid_none,sample_132,133,3.144
hybrid_none,sample_191,153,3.128
hybrid_none,sample_53,71,3.108
hybrid_none,sample_178,145,2.636
hybrid_none,sample_63,23,2.607
hybrid_none,sample_150,63,2.352
hybrid_self_loop,sample_240,657,12.427
hybrid_self_loop,sample_151,298,8.081
hybrid_self_loop,sample_189,292,7.469
