combo,sample,n_nodes,MAE
geometric_self_loop,sample_189,292,7.12
geometric_self_loop,sample_6,230,6.458
geometric_self_loop,sample_195,187,6.45
geometric_self_loop,sample_10,272,5.87
geometric_self_loop,sample_243,365,5.812
geometric_self_loop,sample_92,164,5.435
geometric_self_loop,sample_251,355,5.394
geometric_self_loop,sample_142,58,5.393
geometric_self_loop,sample_182,232,5.363
geometric_self_loop,sample_111,176,5.307
geometric_self_loop,sample_73,70,5.307
geometric_self_loop,sample_235,181,5.277
geometric_self_loop,sample_146,141,5.193
geometric_self_loop,sample_191,163,5.004
geometric_self_loop,sample_203,410,4.918
geometric_self_loop,sample_31,156,4.826
geometric_self_loop,sample_86,128,4.781
geometric_self_loop,sample_163,29,4.613
geometric_self_loop,sample_99,233,4.303
geometric_self_loop,sample_52,119,4.215
geometric_self_loop,sample_192,150,4.155
geometric_self_loop,sample_117,158,4.002
geometric_self_loop,sample_179,330,4.001
geometric_self_loop,sample_216,257,3.989
geometric_self_loop,sample_39,292,3.94
geometric_self_loop,sample_42,282,3.606
geometric_self_loop,sample_4,92,3.604
geometric_self_loop,sample_166,84,2.91
geometric_self_loop,sample_53,71,2.836
geometric_self_loop,sample_118,604,2.791
geometric_self_loop,sample_150,63,2.425
geometric_self_loop,sample_215,53,2.36
geometric_self_loop,sample_132,133,2.267
geometric_self_loop,sample_178,145,2.219
geometric_self_loop,sample_63,23,0.69
geometric_knn,sample_240,657,13.356
geometric_knn,sample_151,298,8.119
geometric_knn,sample_233,439,7.716
geometric_knn,sample_189,292,7.639
geometric_knn,sample_243,365,6.771
geometric_knn,sample_208,189,6.716
geometric_knn,sample_195,187,6.537
geometric_knn,sample_10,272,6.109
geometric_knn,sample_111,176,5.969
geometric_knn,sample_92,164,5.894
geometric_knn,sample_182,232,5.665
geometric_knn,sample_203,410,5.543
geometric_knn,sample_73,70,5.527
geometric_knn,sample_142,58,5.344
geometric_knn,sample_251,355,5.225
geometric_knn,sample_6,230,5.185
geometric_knn,sample_99,233,4.968
geometric_knn,sample_235,181,4.887
geometric_knn,sample_191,163,4.854
geometric_knn,sample_86,128,4.747
geometric_knn,sample_146,141,4.68
geometric_knn,sample_31,156,4.657
geometric_knn,sample_52,119,4.208
geometric_knn,sample_163,29,4.165
geometric_knn,sample_216,257,4.095
geometric_knn,sample_39,292,4.09
geometric_knn,sample_192,150,3.885
geometric_knn,sample_215,53,3.687
geometric_knn,sample_42,282,3.638
geometric_knn,sample_179,330,3.624
geometric_knn,sample_4,92,3.524
geometric_knn,sample_117,158,3.469
geometric_knn,sample_150,63,3.132
geometric_knn,sample_166,84,2.849
geometric_knn,sample_132,133,2.799
geometric_knn,sample_118,604,2.742
geometric_knn,sample_53,71,2.554
geometric_knn,sample_178,145,2.476
geometric_knn,sample_63,23,0.555
hybrid_none,sample_240,657,13.827
hybrid_none,sample_10,272,9.131
hybrid_none,sample_151,298,8.307
hybrid_none,sample_233,439,7.884
hybrid_none,sample_189,292,7.646
hybrid_none,sample_208,189,7.271
hybrid_none,sample_195,187,6.524
hybrid_none,sample_243,365,6.475
hybrid_none,sample_6,230,5.862
hybrid_none,sample_73,70,5.623
hybrid_none,sample_142,58,5.596
hybrid_none,sample_182,232,5.572
hybrid_none,sample_111,176,5.519
hybrid_none,sample_235,181,5.516
hybrid_none,sample_146,141,5.423
hybrid_none,sample_92,164,5.287
hybrid_none,sample_86,128,5.075
hybrid_none,sample_163,29,5.063
hybrid_none,sample_191,163,4.95
hybrid_none,sample_251,355,4.778
hybrid_none,sample_215,53,4.715
hybrid_none,sample_117,158,4.672
hybrid_none,sample_166,84,4.669
hybrid_none,sample_99,233,4.549
hybrid_none,sample_216,257,4.353
hybrid_none,sample_203,410,4.249
hybrid_none,sample_31,156,4.133
hybrid_none,sample_39,292,4.086
hybrid_none,sample_192,150,4.083
hybrid_none,sample_4,92,4.08
hybrid_none,sample_179,330,3.734
hybrid_none,sample_42,282,3.71
hybrid_none,sample_52,119,3.656
hybrid_none,sample_53,71,3.417
hybrid_none,sample_150,63,3.415
hybrid_none,sample_118,604,3.286
hybrid_none,sample_132,133,3.214
hybrid_none,sample_178,145,2.774
hybrid_none,sample_63,23,2.676
hybrid_self_loop,sample_240,657,15.563
hybrid_self_loop,sample_233,439,8.576
hybrid_self_loop,sample_151,298,8.489
hybrid_self_loop,sample_10,272,8.232
hybrid_self_loop,sample_208,189,7.804
hybrid_self_loop,sample_189,292,7.503
hybrid_self_loop,sample_150,63,7.304
hybrid_self_loop,sample_243,365,7.1
hybrid_self_loop,sample_195,187,6.803
hybrid_self_loop,sample_86,128,6.12
hybrid_self_loop,sample_73,70,5.959
hybrid_self_loop,sample_235,181,5.692
hybrid_self_loop,sample_182,232,5.49
hybrid_self_loop,sample_146,141,5.456
hybrid_self_loop,sample_6,230,5.444
hybrid_self_loop,sample_142,58,5.411
hybrid_self_loop,sample_191,163,5.372
hybrid_self_loop,sample_163,29,5.061
hybrid_self_loop,sample_216,257,4.862
hybrid_self_loop,sample_166,84,4.771
hybrid_self_loop,sample_251,355,4.735
hybrid_self_loop,sample_31,156,4.61
hybrid_self_loop,sample_117,158,4.5
hybrid_self_loop,sample_92,164,4.452
hybrid_self_loop,sample_111,176,4.399
hybrid_self_loop,sample_192,150,4.377
hybrid_self_loop,sample_52,119,4.351
hybrid_self_loop,sample_203,410,4.252
hybrid_self_loop,sample_99,233,4.242
hybrid_self_loop,sample_215,53,4.182
hybrid_self_loop,sample_39,292,4.152
hybrid_self_loop,sample_4,92,4.14
hybrid_self_loop,sample_179,330,3.882
hybrid_self_loop,sample_42,282,3.799
hybrid_self_loop,sample_53,71,3.419
hybrid_self_loop,sample_63,23,3.366
hybrid_self_loop,sample_118,604,3.217
hybrid_self_loop,sample_178,145,2.617
hybrid_self_loop,sample_132,133,2.52
hybrid_knn,sample_240,657,12.515
hybrid_knn,sample_10,272,7.904
hybrid_knn,sample_151,298,7.893
hybrid_knn,sample_189,292,7.657
hybrid_knn,sample_208,189,7.299
hybrid_knn,sample_233,439,7.282
hybrid_knn,sample_150,63,7.161
hybrid_knn,sample_243,365,6.859
hybrid_knn,sample_195,187,6.508
hybrid_knn,sample_111,176,6.378
hybrid_knn,sample_73,70,6.043
hybrid_knn,sample_146,141,5.672
hybrid_knn,sample_235,181,5.668
hybrid_knn,sample_6,230,5.62
hybrid_knn,sample_142,58,5.549
hybrid_knn,sample_182,232,5.525
hybrid_knn,sample_117,158,5.294
hybrid_knn,sample_92,164,5.272
hybrid_knn,sample_86,128,5.243
hybrid_knn,sample_163,29,5.09
hybrid_knn,sample_191,163,4.962
hybrid_knn,sample_52,119,4.931
hybrid_knn,sample_166,84,4.899
hybrid_knn,sample_99,233,4.802
hybrid_knn,sample_203,410,4.678
hybrid_knn,sample_216,257,4.562
hybrid_knn,sample_215,53,4.385
hybrid_knn,sample_251,355,4.334
hybrid_knn,sample_31,156,4.253
hybrid_knn,sample_39,292,4.24
hybrid_knn,sample_192,150,4.236
hybrid_knn,sample_4,92,4.009
hybrid_knn,sample_42,282,3.651
hybrid_knn,sample_53,71,3.638
hybrid_knn,sample_118,604,3.581
hybrid_knn,sample_179,330,3.441
hybrid_knn,sample_132,133,2.829
hybrid_knn,sample_63,23,2.67
hybrid_knn,sample_178,145,2.63
