combo,beam_conn_MAE,beam_conn_n,beam_iso_MAE,beam_iso_n,col_conn_MAE,col_conn_n,col_iso_MAE,col_iso_n
topological_none,5.323,5134,4.664,429,6.079,2670,6.995,2
topological_self_loop,5.305,5134,4.577,429,6.112,2670,9.391,2
topological_knn,5.568,5134,4.726,429,6.355,2670,14.296,2
geometric_none,5.86,5134,4.748,429,6.92,2670,11.139,2
geometric_self_loop,5.989,5134,4.89,429,7.04,2670,15.736,2
geometric_knn,5.566,5134,4.688,429,6.443,2670,14.464,2
hybrid_none,5.701,5134,4.694,429,6.009,2670,7.53,2
hybrid_self_loop,5.256,5134,4.492,429,6.058,2670,9.22,2
hybrid_knn,5.422,5134,4.588,429,6.185,2670,15.999,2
