combo,sample,n_nodes,MAE
geometric_self_loop,sample_208,189,8.196
geometric_self_loop,sample_189,292,7.642
geometric_self_loop,sample_86,128,7.513
geometric_self_loop,sample_195,187,7.124
geometric_self_loop,sample_150,63,6.655
geometric_self_loop,sample_243,365,6.624
geometric_self_loop,sample_182,232,6.495
geometric_self_loop,sample_73,70,6.369
geometric_self_loop,sample_235,181,6.262
geometric_self_loop,sample_146,141,5.599
geometric_self_loop,sample_142,58,5.279
geometric_self_loop,sample_251,355,5.176
geometric_self_loop,sample_117,158,5.102
geometric_self_loop,sample_163,29,5.095
geometric_self_loop,sample_92,164,5.088
geometric_self_loop,sample_192,149,5.009
geometric_self_loop,sample_111,176,4.975
geometric_self_loop,sample_216,257,4.929
geometric_self_loop,sample_99,233,4.544
geometric_self_loop,sample_203,410,4.419
geometric_self_loop,sample_52,119,4.302
geometric_self_loop,sample_166,84,4.261
geometric_self_loop,sample_31,152,4.258
geometric_self_loop,sample_63,23,4.063
geometric_self_loop,sample_179,330,3.933
geometric_self_loop,sample_4,92,3.817
geometric_self_loop,sample_42,282,3.761
geometric_self_loop,sample_191,153,3.704
geometric_self_loop,sample_39,285,3.698
geometric_self_loop,sample_215,53,3.647
geometric_self_loop,sample_118,604,3.472
geometric_self_loop,sample_6,206,3.452
geometric_self_loop,sample_178,145,2.923
geometric_self_loop,sample_53,71,2.649
geometric_self_loop,sample_132,133,2.25
geometric_knn,sample_240,657,13.863
geometric_knn,sample_151,298,8.354
geometric_knn,sample_208,189,8.333
geometric_knn,sample_233,439,7.997
geometric_knn,sample_189,292,7.793
geometric_knn,sample_10,272,7.675
geometric_knn,sample_195,187,6.817
geometric_knn,sample_243,365,6.059
geometric_knn,sample_182,232,5.946
geometric_knn,sample_73,70,5.831
geometric_knn,sample_235,181,5.713
geometric_knn,sample_86,128,5.611
geometric_knn,sample_111,176,5.457
geometric_knn,sample_142,58,5.305
geometric_knn,sample_146,141,5.265
geometric_knn,sample_92,164,5.256
geometric_knn,sample_117,158,5.196
geometric_knn,sample_99,233,4.825
