PE,isolated,k,weighted_MAE,unweighted_MAE,beam_MAE,col_MAE,width_MAE,height_MAE,beam_width_MAE,beam_height_MAE,col_width_MAE,col_height_MAE,pct_within_tol,beam_within_tol,col_within_tol,width_within_tol,height_within_tol,overall_RMSE,beam_RMSE,col_RMSE,overall_R2,width_R2,height_R2,beam_R2,col_R2,baseline_MAE,baseline_beam_MAE,baseline_col_MAE,improve_vs_baseline,cv_MAE,cv_MAE_std,model_dir,status
hybrid,self_loop,-,5.477,5.628,5.197,6.06,6.533,4.421,5.813,4.581,8.032,4.088,62.4,63.8,59.5,56.0,68.8,8.272,7.146,10.225,0.554,0.464,0.644,0.588,0.343,8.156,8.35,7.753,2.679,4.527,0.135,../results/filtered/han/models/hybrid_self_loop,ok
topological,self_loop,-,5.53,5.682,5.249,6.114,6.557,4.502,5.716,4.782,8.308,3.92,61.5,62.1,60.3,55.2,67.7,8.443,7.228,10.532,0.535,0.445,0.624,0.577,0.323,8.156,8.35,7.753,2.626,4.602,0.206,../results/filtered/han/models/topological_self_loop,ok
topological,none,-,5.534,5.676,5.272,6.08,6.57,4.498,5.824,4.719,8.123,4.037,61.9,62.0,61.6,56.9,66.8,8.356,7.294,10.218,0.543,0.46,0.626,0.57,0.344,8.156,8.35,7.753,2.622,4.466,0.167,../results/filtered/han/models/topological_none,ok
hybrid,knn,4,5.629,5.775,5.358,6.192,6.69,4.567,5.889,4.827,8.356,4.028,60.9,62.5,57.7,55.5,66.4,8.548,7.494,10.405,0.523,0.432,0.613,0.546,0.333,8.156,8.35,7.753,2.527,4.516,0.137,../results/filtered/han/models/hybrid_knn,ok
hybrid,none,-,5.749,5.817,5.623,6.01,6.597,4.901,5.994,5.252,7.853,4.168,59.0,57.4,62.4,56.0,62.0,8.51,7.747,9.912,0.522,0.453,0.59,0.515,0.372,8.156,8.35,7.753,2.407,4.511,0.107,../results/filtered/han/models/hybrid_none,ok
topological,knn,4,5.781,5.932,5.503,6.361,6.877,4.686,6.216,4.79,8.254,4.468,59.6,59.4,60.2,53.6,65.7,8.586,7.648,10.267,0.517,0.43,0.604,0.528,0.334,8.156,8.35,7.753,2.375,4.573,0.168,../results/filtered/han/models/topological_knn,ok
geometric,knn,4,5.807,5.974,5.498,6.449,6.856,4.757,6.159,4.837,8.31,4.589,59.8,60.1,59.1,54.9,64.7,8.62,7.666,10.329,0.514,0.424,0.604,0.526,0.328,8.156,8.35,7.753,2.349,4.572,0.109,../results/filtered/han/models/geometric_knn,ok
geometric,none,-,6.147,6.349,5.774,6.923,7.085,5.21,6.336,5.213,8.644,5.203,57.5,59.3,53.8,53.9,61.1,9.06,7.883,11.118,0.462,0.366,0.559,0.498,0.207,8.156,8.35,7.753,2.009,4.478,0.199,../results/filtered/han/models/geometric_none,ok
geometric,self_loop,-,6.275,6.476,5.904,7.047,7.191,5.36,6.437,5.371,8.759,5.335,55.8,58.3,50.6,52.8,58.8,9.146,7.969,11.208,0.451,0.359,0.542,0.487,0.184,8.156,8.35,7.753,1.881,4.556,0.149,../results/filtered/han/models/geometric_self_loop,ok
